pergunta;resposta
I ___ coffee in the morning.;drink. Tradução: Eu bebo café de manhã.
I ___ up at seven o'clock.;wake. Tradução: Eu acordo às sete horas.
I ___ 25 years old.;am. Tradução: Eu tenho 25 anos.
She ___ a teacher.;is. Tradução: Ela é professora.
We ___ hungry.;are. Tradução: Nós estamos com fome.
I ___ my teeth after breakfast.;brush. Tradução: Eu escovo os dentes depois do café da manhã.
I ___ my hands before eating.;wash. Tradução: Eu lavo as mãos antes de comer.
He ___ to work by bus.;goes. Tradução: Ele vai para o trabalho de ônibus.
My sister ___ in São Paulo.;lives. Tradução: Minha irmã mora em São Paulo.
I ___ lunch at noon.;have. Tradução: Eu almoço ao meio-dia.
They ___ TV after dinner.;watch. Tradução: Eles assistem TV depois do jantar.
He ___ not work on Sundays.;does. Tradução: Ele não trabalha aos domingos.
Can you ___ me?;help. Tradução: Você pode me ajudar?
Please ___ the window, it's cold.;close. Tradução: Por favor, feche a janela, está frio.
It ___ a lot in the summer.;rains. Tradução: Chove muito no verão.
